URL,Title,Author,Average Rating
https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea?from_search=true&from_srp=true&qid=fb2xFor0tp&rank=1,The House in the Cerulean Sea,T.J. Klune,4.39
https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood?from_search=true&from_srp=true&qid=cHfVNHbYW1&rank=1,House of Earth and Blood,Sarah J. Maas,4.47
https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue?from_search=true&from_srp=true&qid=uVAPeKRkGR&rank=1,The Invisible Life of Addie LaRue,Victoria E. Schwab,4.18
https://www.goodreads.com/book/show/45046527-american-dirt?from_search=true&from_srp=true&qid=0uvIVVoCHC&rank=1,American Dirt,Jeanine Cummins,4.37
https://www.goodreads.com/book/show/52578297-the-midnight-library?from_search=true&from_srp=true&qid=7EWdc5mEvJ&rank=1,The Midnight Library,Matt Haig,3.99
https://www.goodreads.com/book/show/51791252-the-vanishing-half?from_search=true&from_srp=true&qid=aoJpQmHVWL&rank=1,The Vanishing Half,Brit Bennett,4.14
https://www.goodreads.com/book/show/52867387-beach-read?from_search=true&from_srp=true&qid=2y9YB82AEU&rank=1,Beach Read,Emily Henry,3.99
https://www.goodreads.com/book/show/44890081-my-dark-vanessa?from_search=true&from_srp=true&qid=SFiqh4cCfe&rank=1,My Dark Vanessa,Kate Elizabeth Russell,4.10
https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes?from_search=true&from_srp=true&qid=B87aKSYcBt&rank=1,The Ballad of Songbirds and Snakes,Suzanne Collins,3.97
https://www.goodreads.com/book/show/53152636-mexican-gothic?from_search=true&from_srp=true&qid=f0t7VNw5Ly&rank=1,Mexican Gothic,Silvia Moreno-Garcia,3.66
https://www.goodreads.com/book/show/17699853-chain-of-gold?from_search=true&from_srp=true&qid=dgEF4iy91v&rank=1,Chain of Gold,Cassandra Clare,4.38
https://www.goodreads.com/book/show/45294613-dear-edward?from_search=true&from_srp=true&qid=bG0Z3zugVb&rank=1,Dear Edward,Ann Napolitano,4.08
https://www.goodreads.com/book/show/52656911-the-guest-list?from_search=true&from_srp=true&qid=CpUtu5TRR3&rank=1,The Guest List,Lucy Foley,3.81
https://www.goodreads.com/book/show/50202953-piranesi?from_search=true&from_srp=true&qid=q3L5FpdhSB&rank=1,Piranesi,Susanna Clarke,4.22
https://www.goodreads.com/book/show/50663965-reign?from_search=true&from_srp=true&qid=dqO1clYzvF&rank=1,Reign,Siobhan Davis ™,4.27
https://www.goodreads.com/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires?from_search=true&from_srp=true&qid=ry3tQpOder&rank=1,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,3.80
https://www.goodreads.com/book/show/45885644-the-sun-down-motel?from_search=true&from_srp=true&qid=lEWZBBtQ5O&rank=1,The Sun Down Motel,Simone St. James,4.01
https://www.goodreads.com/book/show/52129515-untamed?from_search=true&from_srp=true&qid=O3YgCfGfGZ&rank=1,Untamed,Glennon Doyle,3.99
https://www.goodreads.com/book/show/50925874-rebellion?from_search=true&from_srp=true&qid=VBRnIOol56&rank=1,Rebellion,Siobhan Davis ™,4.29
https://www.goodreads.com/book/show/48731251-bell-hammers?from_search=true&from_srp=true&qid=po4qwQdt7f&rank=1,Bell Hammers,Lancelot Schaubert,4.16
https://www.goodreads.com/book/show/50214741-the-girl-with-the-louding-voice?from_search=true&from_srp=true&qid=8A2ml1CisQ&rank=1,The Girl with the Louding Voice,Abi Daré,4.43
https://www.goodreads.com/book/show/51075749-resurrection?from_search=true&from_srp=true&qid=m8UP6QjAvN&rank=1,Resurrection,Siobhan Davis ™,4.20
https://www.goodreads.com/book/show/35702241-the-shadows-between-us?from_search=true&from_srp=true&qid=skB4j3ndz4&rank=1,The Shadows Between Us,Tricia Levenseller,3.83
https://www.goodreads.com/book/show/43834909-long-bright-river?from_search=true&from_srp=true&qid=I6mjpl9vub&rank=1,Long Bright River,Liz Moore,4.04
https://www.goodreads.com/book/show/50093704-in-five-years?from_search=true&from_srp=true&qid=JmV4ejQdhh&rank=1,In Five Years,Rebecca Serle,3.78
https://www.goodreads.com/book/show/51152447-caste?from_search=true&from_srp=true&qid=2Vc6gU4jon&rank=1,Caste: The Origins of Our Discontents,Isabel Wilkerson,4.53
https://www.goodreads.com/book/show/52381770-network-effect?from_search=true&from_srp=true&qid=vxdxNvoGcD&rank=1,Network Effect,Martha Wells,4.47
https://www.goodreads.com/book/show/53675011-boot?from_search=true&from_srp=true&qid=yPV9uYWNGv&rank=1,Boot: A Sorta Novel of Vietnam,Charles L. Templeton,4.56
https://www.goodreads.com/book/show/45045129-tweet-cute?from_search=true&from_srp=true&qid=rxZMmM8k5s&rank=1,Tweet Cute,Emma Lord,3.89
https://www.goodreads.com/book/show/43890641-hamnet?from_search=true&from_srp=true&qid=qkL3d6xr0r&rank=1,Hamnet,Maggie O'Farrell,4.20
https://www.goodreads.com/book/show/45754981-the-glass-hotel?from_search=true&from_srp=true&qid=fwL2dGHyta&rank=1,The Glass Hotel,Emily St. John Mandel,3.69
https://www.goodreads.com/book/show/45046893-oona-out-of-order?from_search=true&from_srp=true&qid=1AO8DlrrBc&rank=1,Oona Out of Order,Margarita Montimore,3.86
https://www.goodreads.com/book/show/53287484-midnight-sun?from_search=true&from_srp=true&qid=yNWPlZGdYs&rank=1,Midnight Sun,Stephenie Meyer,3.73
