Page,URL,Language,Currently Reading,Want to Read
1,https://www.goodreads.com/book/show/30165203-american-gods,Not Found,Not Found,Not Found
1,https://www.goodreads.com/book/show/17061.Coraline,English,12k,655k
1,https://www.goodreads.com/book/show/18505792-the-ocean-at-the-end-of-the-lane,Not Found,15k,527k
1,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,English,13.4k,425k
1,https://www.goodreads.com/book/show/14497.Neverwhere,English,19.7k,490k
1,https://www.goodreads.com/book/show/16793.Stardust,English,10.2k,395k
1,https://www.goodreads.com/book/show/37903770-norse-mythology,Not Found,27.5k,320k
1,https://www.goodreads.com/book/show/23754.Preludes_Nocturnes,English,"7,466",204k
1,https://www.goodreads.com/book/show/2744.Anansi_Boys,English,"7,130",125k
1,https://www.goodreads.com/book/show/25100.The_Sandman_Vol_3,English,"1,245",60.1k
1,https://www.goodreads.com/book/show/25099.The_Sandman_Vol_2,English,"2,073",36.4k
1,https://www.goodreads.com/book/show/25101.The_Sandman_Vol_4,English,909,26.3k
1,https://www.goodreads.com/book/show/25102.The_Sandman_Vol_5,English,566,24.6k
1,https://www.goodreads.com/book/show/16790.Smoke_and_Mirrors,English,"3,132",54.7k
1,https://www.goodreads.com/book/show/59903442-fragile-things,Not Found,"4,424",60k
1,https://www.goodreads.com/book/show/25105.The_Sandman_Vol_7,English,462,22.2k
1,https://www.goodreads.com/book/show/18310944-the-sandman,Not Found,699,56.9k
1,https://www.goodreads.com/book/show/17349203-fortunately-the-milk,Not Found,987,38.4k
1,https://www.goodreads.com/book/show/25106.The_Sandman_Vol_6,English,769,21.6k
1,https://www.goodreads.com/book/show/22522808-trigger-warning,Not Found,"5,743",119k
1,https://www.goodreads.com/book/show/25103.The_Sandman_Vol_8,English,415,538
1,https://www.goodreads.com/book/show/71252.The_Sandman_Vol_9,English,437,22.7k
1,https://www.goodreads.com/book/show/15719.Marvel_1602,English,"1,410",58.8k
