Ranking,Title,URL,Publication Date,Genre,Average Rating,Number of Ratings,Number of Pages
1,American Gods,https://www.goodreads.com/book/show/30165203-american-gods,"First published June 19, 2001",Fantasy,4.11,"962,313 ratings","635 pages, Kindle Edition
First published June 19, 2001"
2,Coraline,https://www.goodreads.com/book/show/17061.Coraline,"First published July 2, 2002",Fantasy,4.12,"736,095 ratings","176 pages, Paperback
First published July 2, 2002"
3,The Ocean at the End of the Lane,https://www.goodreads.com/book/show/18505792-the-ocean-at-the-end-of-the-lane,Not Found,Not Found,4.02,"641,067 ratings",Not Found
4,The Graveyard Book,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,"First published September 30, 2008",Fantasy,4.16,"554,668 ratings","312 pages, Hardcover
First published September 30, 2008"
5,"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere,"First published September 16, 1996",Fantasy,4.17,"547,157 ratings","370 pages, Paperback
First published September 16, 1996"
6,Stardust,https://www.goodreads.com/book/show/16793.Stardust,"First published January 1, 1999",Fantasy,4.10,"470,046 ratings","248 pages, Paperback
First published January 1, 1999"
7,Norse Mythology,https://www.goodreads.com/book/show/37903770-norse-mythology,Not Found,Not Found,4.10,"332,025 ratings",Not Found
8,"Preludes & Nocturnes (The Sandman, #1)",https://www.goodreads.com/book/show/23754.Preludes_Nocturnes,"First published January 1, 1988",Graphic Novels,4.25,"268,963 ratings","240 pages, Hardcover
First published January 1, 1988"
9,Anansi Boys,https://www.goodreads.com/book/show/2744.Anansi_Boys,"First published September 20, 2005",Fantasy,4.04,"227,275 ratings","387 pages, Mass Market Paperback
First published September 20, 2005"
10,"The Sandman, Vol. 3: Dream Country",https://www.goodreads.com/book/show/25100.The_Sandman_Vol_3,"First published January 1, 1990",Graphic Novels,4.24,"123,275 ratings","160 pages, Hardcover
First published January 1, 1990"
11,"The Sandman, Vol. 2: The Doll's House",https://www.goodreads.com/book/show/25099.The_Sandman_Vol_2,"First published January 1, 1990",Graphic Novels,4.43,"108,306 ratings","232 pages, Hardcover
First published January 1, 1990"
12,"The Sandman, Vol. 4: Season of Mists",https://www.goodreads.com/book/show/25101.The_Sandman_Vol_4,"First published January 1, 1990",Graphic Novels,4.53,"79,569 ratings","224 pages, Hardcover
First published January 1, 1990"
13,"The Sandman, Vol. 5: A Game of You",https://www.goodreads.com/book/show/25102.The_Sandman_Vol_5,"First published January 1, 1992",Graphic Novels,4.41,"67,663 ratings","192 pages, Hardcover
First published January 1, 1992"
14,Smoke and Mirrors: Short Fiction and Illusions,https://www.goodreads.com/book/show/16790.Smoke_and_Mirrors,"First published November 1, 1998",Fantasy,4.01,"72,985 ratings","365 pages, Mass Market Paperback
First published November 1, 1998"
15,Fragile Things: Short Fictions and Wonders,https://www.goodreads.com/book/show/59903442-fragile-things,"First published September 25, 2006",Fantasy,3.95,"71,328 ratings","384 pages, Paperback
First published September 25, 2006"
16,"The Sandman, Vol. 7: Brief Lives",https://www.goodreads.com/book/show/25105.The_Sandman_Vol_7,"First published January 1, 1993",Graphic Novels,4.55,"60,299 ratings","256 pages, Hardcover
First published January 1, 1993"
17,The Sandman: Overture,https://www.goodreads.com/book/show/18310944-the-sandman,Not Found,Not Found,4.04,"66,298 ratings",Not Found
18,"Fortunately, the Milk",https://www.goodreads.com/book/show/17349203-fortunately-the-milk,Not Found,Not Found,4.06,"65,797 ratings",Not Found
19,"The Sandman, Vol. 6: Fables & Reflections",https://www.goodreads.com/book/show/25106.The_Sandman_Vol_6,"First published June 1, 1993",Graphic Novels,4.42,"60,316 ratings","264 pages, Hardcover
First published June 1, 1993"
20,Trigger Warning: Short Fictions and Disturbances,https://www.goodreads.com/book/show/22522808-trigger-warning,Not Found,Not Found,3.92,"62,508 ratings",Not Found
21,"The Sandman, Vol. 8: Worlds' End",https://www.goodreads.com/book/show/25103.The_Sandman_Vol_8,"First published January 1, 1993",Graphic Novels,4.44,"53,523 ratings","160 pages, Hardcover
First published January 1, 1993"
22,"The Sandman, Vol. 9: The Kindly Ones",https://www.goodreads.com/book/show/71252.The_Sandman_Vol_9,"First published January 1, 1995",Graphic Novels,4.59,"51,770 ratings","352 pages, Hardcover
First published January 1, 1995"
23,Marvel 1602,https://www.goodreads.com/book/show/15719.Marvel_1602,"First published October 29, 2003",Comics,3.95,"59,069 ratings","248 pages, Paperback
First published October 29, 2003"
24,"The Sandman, Vol. 10: The Wake",https://www.goodreads.com/book/show/25104.The_Sandman_Vol_10,"First published January 1, 1996",Graphic Novels,4.52,"50,992 ratings","192 pages, Hardcover
First published January 1, 1996"
25,The Sleeper and the Spindle,https://www.goodreads.com/book/show/23301545-the-sleeper-and-the-spindle,"First published October 22, 2013",Fantasy,3.88,"53,084 ratings","68 pages, Hardcover
First published October 22, 2013"
26,Death: The High Cost of Living,https://www.goodreads.com/book/show/16791.Death,"First published May 1, 1993",Graphic Novels,4.20,"41,842 ratings","104 pages, Paperback
First published May 1, 1993"
27,Odd and the Frost Giants,https://www.goodreads.com/book/show/2108198.Odd_and_the_Frost_Giants,"First published March 3, 2008",Fantasy,3.99,"36,758 ratings","97 pages, Paperback
First published March 3, 2008"
28,The Sandman: Endless Nights,https://www.goodreads.com/book/show/47720.The_Sandman,"First published January 1, 2003",Graphic Novels,4.33,"29,740 ratings","160 pages, Paperback
First published January 1, 2003"
29,Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,https://www.goodreads.com/book/show/79257.Don_t_Panic,"First published January 1, 1986",Nonfiction,4.28,"25,153 ratings","181 pages, Paperback
First published January 1, 1986"
30,"The Absolute Sandman, Volume 1",https://www.goodreads.com/book/show/23753.The_Absolute_Sandman_Volume_1,"First published October 1, 1990",Comics,4.64,"22,338 ratings","612 pages, Slipcased Hardcover
First published October 1, 1990"
31,The Sandman: The Dream Hunters,https://www.goodreads.com/book/show/166580.The_Sandman,"First published January 1, 1999",Graphic Novels,4.41,"21,083 ratings","128 pages, Paperback
First published January 1, 1999"
32,Art Matters: Because Your Imagination Can Change the World,https://www.goodreads.com/book/show/40090596-art-matters,"First published November 20, 2018",Nonfiction,4.29,"19,304 ratings","101 pages, Kindle Edition
First published November 20, 2018"
33,"InterWorld (InterWorld, #1)",https://www.goodreads.com/book/show/47701.InterWorld,"First published June 26, 2007",Fantasy,3.56,"22,782 ratings","239 pages, Hardcover
First published June 26, 2007"
34,Batman: Whatever Happened to the Caped Crusader?,https://www.goodreads.com/book/show/5599692-batman,"First published July 21, 2009",Comics,3.98,"19,595 ratings","128 pages, Hardcover
First published July 21, 2009"
35,"The Graveyard Book Graphic Novel, Volume 1",https://www.goodreads.com/book/show/18738869-the-graveyard-book-graphic-novel-volume-1,"First published July 29, 2014",Graphic Novels,4.31,"17,894 ratings","192 pages, Unknown Binding
First published July 29, 2014"
36,The Wolves in the Walls,https://www.goodreads.com/book/show/22341.The_Wolves_in_the_Walls,"First published August 5, 2003",Fantasy,4.04,"18,382 ratings","56 pages, Paperback
First published August 5, 2003"
37,The Books of Magic,https://www.goodreads.com/book/show/17727.The_Books_of_Magic,"First published January 1, 1993",Comics,4.09,"17,810 ratings","200 pages, Paperback
First published January 1, 1993"
38,M Is for Magic,https://www.goodreads.com/book/show/47699.M_Is_for_Magic,"First published July 1, 2007",Fantasy,3.81,"18,709 ratings","260 pages, Hardcover
First published July 1, 2007"
39,The View from the Cheap Seats: Selected Nonfiction,https://www.goodreads.com/book/show/24331386-the-view-from-the-cheap-seats,Not Found,Not Found,3.97,"16,362 ratings",Not Found
40,"Snow, Glass, Apples",https://www.goodreads.com/book/show/45303582-snow-glass-apples,"First published August 20, 2019",Graphic Novels,4.07,"14,366 ratings","64 pages, Hardcover
First published August 20, 2019"
41,The Sandman #1: Sleep of the Just,https://www.goodreads.com/book/show/18245516-the-sandman-1,"First published January 1, 1989",Comics,4.15,"14,005 ratings","42 pages, Kindle Edition
First published January 1, 1989"
